2023-07-12T04:43:52    Etacha4 (GUI)      (C) INSP-ASUR JPR  + MSU  03/2017     (file "eUntitled")
*****************************************************************************************
PROJECTILE: atomic number=  20  incident charge=  10  atomic mass=  48
    TARGET: atomic number=   3      atomic mass=   7      density= 0.530 g/cm3
          incident energy=  28.000 MeV/u  velocity=  32.864 (au)
           relative error=1e-05 absolute error=1e-12
  Energy loss: S1=   7.419 MeV/mg/cm2 at E1=  28.000 MeV/u 
          and: S2=   7.451 MeV/mg/cm2 at E2=  27.845 MeV/u 

Reference ('hydrogenic') cross sections in 10E-20 cm2:
  CAPTURE (MEC+REC) TO:   1s = 8.070e-03  2s = 1.306e-03  2p = 1.773e-03
                          3s = 3.606e-04  3p = 4.464e-04  3d = 6.856e-04   (n=4) = 0.000e+00
  IONIZATION OF:          1s = 9.697e-01  2s = 6.443e+00  2p = 7.367e+00
                          3s = 2.884e+01  3p = 3.056e+01  3d = 3.346e+01   (n=4) = 0.000e+00
1s EXCITATION TO:         2s = 9.079e-02  2p = 7.928e-01
                          3s = 1.813e-02  3p = 1.399e-01  3d = 1.159e-02   (n=4) = 0.000e+00
2s EXCITATION TO:         3s = 9.099e-01  3p = 2.979e+00  3d = 3.047e+00   (n=4) = 0.000e+00
2p EXCITATION TO:         3s = 1.258e-01  3p = 1.033e+00  3d = 7.385e+00   (n=4) = 0.000e+00
EXCITATION To n=4 from:   3s = 0.000e+00  3p = 0.000e+00  3d = 0.000e+00
INTRASHELL EXCITATION:    2s to 2p = 1.717e+01      3s to 3p = 4.502e+01
********************************************************************************************************
Tar.thick.     0e-       1e-       2e-       3e-       4e-       5e-       6e-       7e-       8e-       9e-      E_out
 (ug/cm2)    (20e+)    (19e+)    (18e+)    (17e+)    (16e+)    (15e+)    (14e+)    (13e+)    (12e+)    (11e+)     MeV/u
********************************************************************************************************

   260.00   3.12754  25.12491  55.40566  14.40649   1.79319   0.13522   0.00676   0.00023   0.00001   0.00000     27.960 
   280.00   3.88850  28.12550  55.18366  11.57323   1.15627   0.06995   0.00281   0.00008   0.00000   0.00000     27.960 
   300.00   4.72750  30.94579  54.32127   9.22509   0.74293   0.03621   0.00117   0.00003   0.00000   0.00000     27.960 
   320.00   5.62287  33.52243  53.00883   7.34562   0.48072   0.01903   0.00050   0.00001   0.00000   0.00000     27.951 
   340.00   6.58040  35.88715  51.36987   5.83991   0.31234   0.01010   0.00022   0.00000   0.00000   0.00000     27.951 
   360.00   7.59528  38.03913  49.50864   4.64696   0.20445   0.00544   0.00010   0.00000   0.00000   0.00000     27.951 
   380.00   8.66230  39.98175  47.50834   3.70932   0.13527   0.00298   0.00004   0.00000   0.00000   0.00000     27.951 
   400.00   9.77613  41.72149  45.43380   2.97616   0.09073   0.00167   0.00002   0.00000   0.00000   0.00000     27.951 
   420.00  10.90716  43.23894  43.37708   2.41355   0.06229   0.00097   0.00001   0.00000   0.00000   0.00000     27.935 
   440.00  12.07013  44.57672  41.33621   1.97284   0.04352   0.00058   0.00001   0.00000   0.00000   0.00000     27.935 
   460.00  13.26216  45.74659  39.33286   1.62704   0.03099   0.00035   0.00000   0.00000   0.00000   0.00000     27.935 
   480.00  14.47987  46.75984  37.38271   1.35483   0.02252   0.00022   0.00000   0.00000   0.00000   0.00000     27.935 
   500.00  15.71979  47.62730  35.49654   1.13952   0.01670   0.00015   0.00000   0.00000   0.00000   0.00000     27.935 
   550.00  18.87847  49.19905  31.11609   0.79713   0.00920   0.00006   0.00000   0.00000   0.00000   0.00000     27.935 
   600.00  22.04060  50.07313  27.29038   0.59015   0.00571   0.00003   0.00000   0.00000   0.00000   0.00000     27.907 
   650.00  25.22921  50.40479  23.91432   0.44793   0.00373   0.00002   0.00000   0.00000   0.00000   0.00000     27.907 
   700.00  28.41684  50.28760  20.94562   0.34738   0.00254   0.00001   0.00000   0.00000   0.00000   0.00000     27.907 
   750.00  31.57909  49.80461  18.34078   0.27371   0.00179   0.00001   0.00000   0.00000   0.00000   0.00000     27.907 
   800.00  34.66816  49.03256  16.07858   0.21938   0.00131   0.00000   0.00000   0.00000   0.00000   0.00000     27.876 
   850.00  37.69660  48.03084  14.09478   0.17681   0.00097   0.00000   0.00000   0.00000   0.00000   0.00000     27.876 
   900.00  40.65225  46.84776  12.35614   0.14312   0.00072   0.00000   0.00000   0.00000   0.00000   0.00000     27.876 
   950.00  43.52557  45.52495  10.83272   0.11622   0.00054   0.00000   0.00000   0.00000   0.00000   0.00000     27.876 
  1000.00  46.30937  44.09765   9.49798   0.09459   0.00041   0.00000   0.00000   0.00000   0.00000   0.00000     27.876 
********************************************************************************************************
Tar.thick.     0e-       1e-       2e-       3e-       4e-       5e-       6e-       7e-       8e-       9e-      E_out
 (ug/cm2)    (20e+)    (19e+)    (18e+)    (17e+)    (16e+)    (15e+)    (14e+)    (13e+)    (12e+)    (11e+)     MeV/u
********************************************************************************************************

        End time is  04:44:00
    Elapsed time is  00:00:07 (or 7.775 sec)
             Final energy : 27.799 (MeV/u)
