0.001	2.26
0.003	1.49
0.005	1.45
0.007	1.64
0.009	2.19
0.011	1.95
0.013	1.7
0.015	1.3
0.017	0.92
0.019	1.05
0.021	1.12
0.023	1.35
0.025	1.01
0.027	1.5
0.029	1.52
0.031	1.93
0.033	1.49
0.035	1.75
0.037	1.57
0.039	1.32
0.041	1.55
0.043	1.75
0.045	1.88
0.047	1.57
0.049	1.63
0.051	1.32
0.053	1.58
0.055	1.58
0.057	1.33
0.059	1.76
0.061	1.47
0.063	1.6
0.065	1.45
0.067	1.77
0.069	1.83
0.071	1.6
0.073	2.14
0.075	1.71
0.077	1.59
0.079	1.62
0.081	2.11
0.083	1.68
0.085	1.54
0.087	1.67
0.089	1.82
0.091	1.63
0.093	1.65
0.095	1.57
0.097	1.74
0.099	1.34
0.101	1.44
0.103	1.18
0.105	1.3
0.107	1.52
0.109	1.36
0.111	1.38
0.113	1.46
0.115	1.35
0.117	1.39
0.119	1.38
0.121	1.33
0.123	1.53
0.125	1.34
0.127	1.41
0.129	1.39
0.131	1.3
0.133	1.31
0.135	1.53
0.137	1.08
0.139	0.92
0.141	1.2
0.143	1.54
0.145	1.31
0.147	0.94
0.149	0.92
0.151	1.25
0.153	1.12
0.155	1.29
0.157	1.06
0.159	1.12
0.161	1.08
0.163	1.33
0.165	1.51
0.167	1.16
0.169	1.14
0.171	1.08
0.173	1.19
0.175	0.88
0.177	1.12
0.179	1.05
0.181	1.03
0.183	0.93
0.185	1
0.187	1.06
0.189	1.09
0.191	1.2
0.193	1.01
0.195	1.01
0.197	1.1
0.199	1.26
0.201	1.01
0.203	0.93
0.205	0.95
0.207	1.02
0.209	1.15
0.211	1.2
0.213	1.18
0.215	1.02
0.217	1.09
0.219	1.12
0.221	0.96
0.223	0.95
0.225	1.14
0.227	1
0.229	1.38
0.231	0.95
0.233	1.15
0.235	0.82
0.237	1.22
0.239	1.14
0.241	0.83
0.243	1.04
0.245	0.94
0.247	0.87
0.249	1.07
0.251	1.06
0.253	0.84
0.255	0.96
0.257	1.04
0.259	0.89
0.261	1.07
0.263	0.97
0.265	0.92
0.267	1.06
0.269	1.09
0.271	0.94
0.273	1.07
0.275	1.02
0.277	0.8
0.279	0.95
0.281	1
0.283	0.83
0.285	1.11
0.287	1.05
0.289	0.79
0.291	0.97
0.293	1.03
0.295	1.12
0.297	1.22
0.299	0.92
0.301	0.89
0.303	1.07
0.305	1.14
0.307	1.26
0.309	1.21
0.311	0.93
0.313	1.01
0.315	1.06
0.317	1.1
0.319	0.94
0.321	1.07
0.323	1.05
0.325	1.17
0.327	1.22
0.329	1.09
0.331	1.1
0.333	1.14
0.335	0.82
0.337	1.13
0.339	1.23
0.341	1.28
0.343	1.3
0.345	1.07
0.347	1.18
0.349	1.45
0.351	1.21
0.353	1.39
0.355	1.38
0.357	1.03
0.359	1.41
0.361	1.11
0.363	1.12
0.365	1.04
0.367	1.26
0.369	1.36
0.371	1.31
0.373	1.34
0.375	1.45
0.377	1.63
0.379	1.56
0.381	1.12
0.383	1.45
0.385	1.13
0.387	1.3
0.389	1.54
0.391	1.14
0.393	1.4
0.395	1.67
0.397	1.57
0.399	1.85
0.401	1.76
0.403	1.44
0.405	1.75
0.407	1.79
0.409	1.27
0.411	1.82
0.413	1.65
0.415	1.57
0.417	2.26
0.419	1.64
0.421	1.5
0.423	2
0.425	2.43
0.427	1.67
0.429	1.89
0.431	1.78
0.433	1.72
0.435	1.75
0.437	2.1
0.439	2.09
0.441	2.27
0.443	2
0.445	1.67
0.447	2.42
0.449	2.04
0.451	1.69
0.453	2.48
0.455	2.32
0.457	2.35
0.459	2.36
0.461	2.21
0.463	2.54
0.465	2.46
0.467	2.49
0.469	2.33
0.471	2.26
0.473	2.51
0.475	2.6
0.477	2.26
0.479	2.53
0.481	2.65
0.483	2.35
0.485	2.4
0.487	2.68
0.489	2.83
0.491	2.81
0.493	2.53
0.495	2.39
0.497	2.54
0.499	2.97
0.501	2.98
0.503	2.8
0.505	2.58
0.507	3.08
0.509	2.67
0.511	2.84
0.513	3.41
0.515	2.96
0.517	2.44
0.519	2.74
0.521	3.18
0.523	2.71
0.525	2.47
0.527	2.71
0.529	2.7
0.531	2.74
0.533	2.72
0.535	2.94
0.537	3.39
0.539	3.35
0.541	2.82
0.543	2.87
0.545	3.04
0.547	3.17
0.549	2.53
0.551	2.84
0.553	2.91
0.555	2.98
0.557	2.74
0.559	2.89
0.561	3.02
0.563	3.27
0.565	3
0.567	3.4
0.569	3.11
0.571	2.79
0.573	2.72
0.575	2.87
0.577	2.72
0.579	2.52
0.581	3.05
0.583	2.72
0.585	2.76
0.587	2.71
0.589	3.39
0.591	2.81
0.593	2.26
0.595	3.19
0.597	3.07
0.599	2.39
0.601	2.27
0.603	2.24
0.605	2.57
0.607	2.98
0.609	2.19
0.611	2.68
0.613	2.18
0.615	2.85
0.617	2.36
0.619	2.68
0.621	2.51
0.623	2.07
0.625	2.34
0.627	2.17
0.629	2.49
0.631	1.85
0.633	2.34
0.635	2.37
0.637	2.23
0.639	2.02
0.641	2.04
0.643	1.87
0.645	2.21
0.647	2.19
0.649	2.05
0.651	1.73
0.653	2.4
0.655	2.42
0.657	2.28
0.659	2.25
0.661	2.01
0.663	2.16
0.665	2.38
0.667	1.92
0.669	2.04
0.671	1.91
0.673	2.11
0.675	2.22
0.677	2.18
0.679	1.99
0.681	1.55
0.683	2.12
0.685	2.2
0.687	2.15
0.689	2.21
0.691	2.01
0.693	1.74
0.695	1.83
0.697	1.63
0.699	1.98
0.701	1.82
0.703	2.13
0.705	2
0.707	1.73
0.709	1.87
0.711	1.36
0.713	1.56
0.715	1.49
0.717	1.86
0.719	2.05
0.721	1.49
0.723	1.74
0.725	1.87
0.727	1.81
0.729	1.32
0.731	1.75
0.733	1.68
0.735	1.16
0.737	1.59
0.739	1.77
0.741	1.51
0.743	0.89
0.745	1.11
0.747	1.33
0.749	0.78
0.751	1.1
0.753	1.19
0.755	1.09
0.757	1.12
0.759	1.08
0.761	0.77
0.763	0.69
0.765	0.7
0.767	0.67
0.769	0.28
0.771	0.55
0.773	0.62
0.775	0.63
0.777	0.12
0.779	0.11
0.781	0.09
0.783	0.22
0.785	0.07
0.787	0
0.789	0
0.791	0
0.793	0
0.795	0
0.797	0
0.799	0
0.801	0
0.803	0
0.805	0
0.807	0
0.809	0
0.811	0
0.813	0
0.815	0
0.817	0
0.819	0
0.821	0
0.823	0
0.825	0
0.827	0
0.829	0
0.831	0
0.833	0
0.835	0
0.837	0
0.839	0
0.841	0
0.843	0
0.845	0
0.847	0
0.849	0
0.851	0
0.853	0
0.855	0
0.857	0
0.859	0
0.861	0
0.863	0
0.865	0
0.867	0
0.869	0
0.871	0
0.873	0
0.875	0
0.877	0
0.879	0
0.881	0
0.883	0
0.885	0
0.887	0
0.889	0
0.891	0
0.893	0
0.895	0
0.897	0
0.899	0
0.901	0
0.903	0
0.905	0
0.907	0
0.909	0
0.911	0
0.913	0
